managerID,awardID,yearID,lgID,tie,notes
larusto01m,BBWAA Manager of the year,1983,AL,,
lasorto01m,BBWAA Manager of the year,1983,NL,,
andersp01m,BBWAA Manager of the year,1984,AL,,
freyji99m,BBWAA Manager of the year,1984,NL,,
coxbo01m,BBWAA Manager of the year,1985,AL,,
herzowh01m,BBWAA Manager of the year,1985,NL,,
mcnamjo99m,BBWAA Manager of the year,1986,AL,,
lanieha01m,BBWAA Manager of the year,1986,NL,,
andersp01m,BBWAA Manager of the year,1987,AL,,
rodgebu01m,BBWAA Manager of the year,1987,NL,,
larusto01m,BBWAA Manager of the year,1988,AL,,
lasorto01m,BBWAA Manager of the year,1988,NL,,
robinfr02m,BBWAA Manager of the year,1989,AL,,
zimmedo01m,BBWAA Manager of the year,1989,NL,,
torboje01m,BBWAA Manager of the year,1990,AL,,
leylaji99m,BBWAA Manager of the year,1990,NL,,
kellyto01m,BBWAA Manager of the year,1991,AL,,
coxbo01m,BBWAA Manager of the year,1991,NL,,
larusto01m,BBWAA Manager of the year,1992,AL,,
leylaji99m,BBWAA Manager of the year,1992,NL,,
lamonge01m,BBWAA Manager of the year,1993,AL,,
bakerdu01m,BBWAA Manager of the year,1993,NL,,
showabu99m,BBWAA Manager of the year,1994,AL,,
aloufe01m,BBWAA Manager of the year,1994,NL,,
pinielo01m,BBWAA Manager of the year,1995,AL,,
baylodo01m,BBWAA Manager of the year,1995,NL,,
oatesjo01m,BBWAA Manager of the year,1996,AL,Y,
torrejo01m,BBWAA Manager of the year,1996,AL,Y,
bochybr01m,BBWAA Manager of the year,1996,NL,,
johnsda02m,BBWAA Manager of the year,1997,AL,,
bakerdu01m,BBWAA Manager of the year,1997,NL,,
torrejo01m,BBWAA Manager of the year,1998,AL,,
dierkla01m,BBWAA Manager of the year,1998,NL,,
williji03m,BBWAA Manager of the year,1999,AL,,
mckeoja99m,BBWAA Manager of the year,1999,NL,,
manueje01m,BBWAA Manager of the year,2000,AL,,
bakerdu01m,BBWAA Manager of the year,2000,NL,,
pinielo01m,BBWAA Manager of the year,2001,AL,,
bowala01m,BBWAA Manager of the year,2001,NL,,
sciosmi01m,BBWAA Manager of the year,2002,AL,,
larusto01m,BBWAA Manager of the year,2002,NL,,
penato01m,BBWAA Manager of the year,2003,AL,,
mckeoja99m,BBWAA Manager of the year,2003,NL,,
showabu99m,BBWAA Manager of the year,2004,AL,,
coxbo01m,BBWAA Manager of the year,2004,NL,,
guilloz01m,BBWAA Manager of the year,2005,AL,,
coxbo01m,BBWAA Manager of the year,2005,NL,,
leylaji99m,BBWAA Manager of the year,2006,AL,,
girarjo01m,BBWAA Manager of the year,2006,NL,,
wedgeer01m,BBWAA Manager of the year,2007,AL,,
melvibo01m,BBWAA Manager of the year,2007,NL,,
maddojo99m,BBWAA Manager of the year,2008,AL,,
pinielo01m,BBWAA Manager of the year,2008,NL,,
sciosmi01m,BBWAA Manager of the year,2009,AL,,
tracyji01m,BBWAA Manager of the year,2009,NL,,
gardero01m,BBWAA Manager of the year,2010,AL,,
blackbu02m,BBWAA Manager of the year,2010,NL,,
maddojo99m,BBWAA Manager of the year,2011,AL,,
gibsoki01m,BBWAA Manager of the year,2011,NL,,
melvibo01m,BBWAA Manager of the year,2012,AL,,
johnsda02m,BBWAA Manager of the year,2012,NL,,
mccarjo99m,TSN Manager of the Year,1936,ML,,
mckecbi01m,TSN Manager of the Year,1937,ML,,
mccarjo99m,TSN Manager of the Year,1938,ML,,
durocle01m,TSN Manager of the Year,1939,ML,,
mckecbi01m,TSN Manager of the Year,1940,ML,,
southbi01m,TSN Manager of the Year,1941,ML,,
