awardID,yearID,lgID,managerID,pointsWon,pointsMax,votesFirst
Mgr of the year,1983,AL,altobjo01m,7,28,7
Mgr of the year,1983,AL,coxbo01m,4,28,4
Mgr of the year,1983,AL,larusto01m,17,28,17
Mgr of the year,1983,NL,lasorto01m,10,24,10
Mgr of the year,1983,NL,lillibo01m,9,24,9
Mgr of the year,1983,NL,owenspa99m,1,24,1
Mgr of the year,1983,NL,tannech01m,4,24,4
Mgr of the year,1984,AL,andersp01m,96,140,13
Mgr of the year,1984,AL,coxbo01m,9,140,0
Mgr of the year,1984,AL,gardnbi02m,48,140,4
Mgr of the year,1984,AL,howsedi01m,95,140,11
Mgr of the year,1984,AL,mcnamjo99m,4,140,0
Mgr of the year,1984,NL,freyji99m,101,120,16
Mgr of the year,1984,NL,johnsda02m,72,120,4
Mgr of the year,1984,NL,lillibo01m,2,120,1
Mgr of the year,1984,NL,willidi02m,41,120,4
Mgr of the year,1985,AL,coxbo01m,104,140,16
Mgr of the year,1985,AL,howsedi01m,66,140,4
Mgr of the year,1985,AL,larusto01m,1,140,0
Mgr of the year,1985,AL,martibi02m,19,140,0
Mgr of the year,1985,AL,mauchge01m,57,140,8
Mgr of the year,1985,AL,mcnamjo99m,1,140,0
Mgr of the year,1985,AL,mooreja01m,4,140,0
Mgr of the year,1985,NL,herzowh01m,86,120,11
Mgr of the year,1985,NL,johnsda02m,4,120,0
Mgr of the year,1985,NL,lasorto01m,39,120,3
Mgr of the year,1985,NL,rodgebu01m,2,120,0
Mgr of the year,1985,NL,rosepe01m,85,120,10
Mgr of the year,1986,AL,corrapa01m,18,140,1
Mgr of the year,1986,AL,mauchge01m,44,140,2
Mgr of the year,1986,AL,mcnamjo99m,95,140,13
Mgr of the year,1986,AL,pinielo01m,5,140,0
Mgr of the year,1986,AL,valenbo02m,90,140,12
Mgr of the year,1986,NL,craigro01m,42,120,2
Mgr of the year,1986,NL,felskjo01m,3,120,0
Mgr of the year,1986,NL,johnsda02m,62,120,3
Mgr of the year,1986,NL,lanieha01m,108,120,19
Mgr of the year,1986,NL,leylaji99m,1,120,0
Mgr of the year,1987,AL,andersp01m,90,140,11
Mgr of the year,1987,AL,edwardo01m,1,140,0
Mgr of the year,1987,AL,kellyto01m,74,140,10
Mgr of the year,1987,AL,larusto01m,8,140,0
Mgr of the year,1987,AL,pinielo01m,1,140,0
Mgr of the year,1987,AL,trebeto99m,78,140,7
Mgr of the year,1987,NL,craigro01m,65,120,6
Mgr of the year,1987,NL,herzowh01m,54,120,5
Mgr of the year,1987,NL,johnsda02m,3,120,0
Mgr of the year,1987,NL,leylaji99m,2,120,0
Mgr of the year,1987,NL,rodgebu01m,92,120,13
Mgr of the year,1988,AL,andersp01m,37,140,3
Mgr of the year,1988,AL,fregoji01m,1,140,0
Mgr of the year,1988,AL,kellyto01m,6,140,0
Mgr of the year,1988,AL,larusto01m,103,140,15
Mgr of the year,1988,AL,morgajo01m,89,140,9
