hofID,yearid,votedBy,ballots,needed,votes,inducted,category,needed_note
cobbty01h,1936,BBWAA,226,170,222,Y,Player,
ruthba01h,1936,BBWAA,226,170,215,Y,Player,
wagneho01h,1936,BBWAA,226,170,215,Y,Player,
mathech01h,1936,BBWAA,226,170,205,Y,Player,
johnswa01h,1936,BBWAA,226,170,189,Y,Player,
lajoina01h,1936,BBWAA,226,170,146,N,Player,
speaktr01h,1936,BBWAA,226,170,133,N,Player,
youngcy01h,1936,BBWAA,226,170,111,N,Player,
hornsro01h,1936,BBWAA,226,170,105,N,Player,
cochrmi01h,1936,BBWAA,226,170,80,N,Player,
sislege01h,1936,BBWAA,226,170,77,N,Player,
collied01h,1936,BBWAA,226,170,60,N,Player,
colliji01h,1936,BBWAA,226,170,58,N,Player,
alexape01h,1936,BBWAA,226,170,55,N,Player,
gehrilo01h,1936,BBWAA,226,170,51,N,Player,
bresnro01h,1936,BBWAA,226,170,47,N,Player,
keelewi01h,1936,BBWAA,226,170,40,N,Player,
ansonca01h,1936,Veterans,78,59,39,N,Player,
ewingbu01h,1936,Veterans,78,59,39,N,Player,
keelewi01h,1936,Veterans,78,59,33,N,Player,
wadderu01h,1936,BBWAA,226,170,33,N,Player,
youngcy01h,1936,Veterans,78,59,32,N,Player,
delahed01h,1936,Veterans,78,59,21,N,Player,
foxxji01h,1936,BBWAA,226,170,21,N,Player,
walshed01h,1936,BBWAA,226,170,20,N,Player,
mcgrajo01h,1936,Veterans,78,59,17,N,Player,
delahed01h,1936,BBWAA,226,170,17,N,Player,
radboch01h,1936,Veterans,78,59,16,N,Player,
traynpi01h,1936,BBWAA,226,170,16,N,Player,
kellyki01h,1936,Veterans,78,59,15,N,Player,
longhe01h,1936,Veterans,78,59,15,N,Player,
friscfr01h,1936,BBWAA,226,170,14,N,Player,
grovele01h,1936,BBWAA,226,170,12,N,Player,
jennihu01h,1936,Veterans,78,59,11,N,Player,
rusieam01h,1936,Veterans,78,59,11,N,Player,
chaseha01h,1936,BBWAA,226,170,11,N,Player,
youngro01h,1936,BBWAA,226,170,10,N,Player,
clarkfr01h,1936,Veterans,78,59,9,N,Player,
terrybi01h,1936,BBWAA,226,170,9,N,Player,
colliji01h,1936,Veterans,78,59,8,N,Player,
klingjo01h,1936,BBWAA,226,170,8,N,Player,
crigelo01h,1936,BBWAA,226,170,7,N,Player,
comisch01h,1936,Veterans,78,59,6,N,Player,
dennyje01h,1936,Veterans,78,59,6,N,Player,
langebi01h,1936,Veterans,78,59,6,N,Player,
robinwi01h,1936,Veterans,78,59,6,N,Player,
stoveha01h,1936,Veterans,78,59,6,N,Player,
wrighge01h,1936,Veterans,78,59,6,N,Player,
brownmo01h,1936,BBWAA,226,170,6,N,Player,
eversjo01h,1936,BBWAA,226,170,6,N,Player,
clarkjo01h,1936,Veterans,78,59,5,N,Player,
wagneho01h,1936,Veterans,78,59,5,N,Player,
chancfr01h,1936,BBWAA,226,170,5,N,Player,
spaldal01h,1936,Veterans,78,59,4,N,Player,
mcgrajo01h,1936,BBWAA,226,170,4,N,Player,
schalra01h,1936,BBWAA,226,170,4,N,Player,
simmoal01h,1936,BBWAA,226,170,4,N,Player,
barnero01h,1936,Veterans,78,59,3,N,Player,
bennech01h,1936,Veterans,78,59,3,N,Player,
duffyhu01h,1936,Veterans,78,59,3,N,Player,
nichoki01h,1936,Veterans,78,59,3,N,Player,
wardjo01h,1936,Veterans,78,59,3,N,Player,
broutda01h,1936,Veterans,78,59,2,N,Player,
dunlafr01h,1936,Veterans,78,59,2,N,Player,
glassja01h,1936,Veterans,78,59,2,N,Player,
hamilbi01h,1936,Veterans,78,59,2,N,Player,
lajoina01h,1936,Veterans,78,59,2,N,Player,
willine01h,1936,Veterans,78,59,2,N,Player,
bendech01h,1936,BBWAA,226,170,2,N,Player,
jacksjo01h,1936,BBWAA,226,170,2,N,Player,
roushed01h,1936,BBWAA,226,170,2,N,Player,
allisdo01h,1936,Veterans,78,59,1,N,Player,
battijo01h,1936,Veterans,78,59,1,N,Player,
becklja01h,1936,Veterans,78,59,1,N,Player,
bondto01h,1936,Veterans,78,59,1,N,Player,
burkeje01h,1936,Veterans,78,59,1,N,Player,
crigelo01h,1936,Veterans,78,59,1,N,Player,
dahlebi01h,1936,Veterans,78,59,1,N,Player,
daubeja01h,1936,Veterans,78,59,1,N,Player,
doyleja01h,1936,Veterans,78,59,1,N,Player,
keefeti01h,1936,Veterans,78,59,1,N,Player,
kilroma01h,1936,Veterans,78,59,1,N,Player,
lathaar01h,1936,Veterans,78,59,1,N,Player,
lowebo01h,1936,Veterans,78,59,1,N,Player,
mcaleji01h,1936,Veterans,78,59,1,N,Player,
mccarto01h,1936,Veterans,78,59,1,N,Player,
mcveyca01h,1936,Veterans,78,59,1,N,Player,
paborch01h,1936,Veterans,78,59,1,N,Player,
pikeli01h,1936,Veterans,78,59,1,N,Player,
remseja01h,1936,Veterans,78,59,1,N,Player,
richaha01h,1936,Veterans,78,59,1,N,Player,
tennefr02h,1936,Veterans,78,59,1,N,Player,
vanhage01h,1936,Veterans,78,59,1,N,Player,
wallabo01h,1936,Veterans,78,59,1,N,Player,
whitede01h,1936,Veterans,78,59,1,N,Player,
bakerfr01h,1936,BBWAA,226,170,1,N,Player,
bradlbi01h,1936,BBWAA,226,170,1,N,Player,
clarkfr01h,1936,BBWAA,226,170,1,N,Player,
crawfsa01h,1936,BBWAA,226,170,1,N,Player,
elberki01h,1936,BBWAA,226,170,1,N,Player,
mackco01h,1936,BBWAA,226,170,1,N,Player,
marquru01h,1936,BBWAA,226,170,1,N,Player,
ruckena01h,1936,BBWAA,226,170,1,N,Player,
vanceda01h,1936,BBWAA,226,170,1,N,Player,
cummica01h,1936,Veterans,78,59,0,N,Player,
flintsi01h,1936,Veterans,78,59,0,N,Player,
richmle01h,1936,Veterans,78,59,0,N,Player,
gehrich01h,1936,BBWAA,226,170,0,N,Player,
hartnga01h,1936,BBWAA,226,170,0,N,Player,
sullibi03h,1936,BBWAA,226,170,0,N,Player,
lajoina01h,1937,BBWAA,201,151,168,Y,Player,
speaktr01h,1937,BBWAA,201,151,165,Y,Player,
youngcy01h,1937,BBWAA,201,151,153,Y,Player,
alexape01h,1937,BBWAA,201,151,125,N,Player,
collied01h,1937,BBWAA,201,151,115,N,Player,
keelewi01h,1937,BBWAA,201,151,115,N,Player,
sislege01h,1937,BBWAA,201,151,106,N,Player,
delahed01h,1937,BBWAA,201,151,70,N,Player,
wadderu01h,1937,BBWAA,201,151,67,N,Player,
colliji01h,1937,BBWAA,201,151,66,N,Player,
walshed01h,1937,BBWAA,201,151,56,N,Player,
hornsro01h,1937,BBWAA,201,151,53,N,Player,
chancfr01h,1937,BBWAA,201,151,49,N,Player,
eversjo01h,1937,BBWAA,201,151,44,N,Player,
bresnro01h,1937,BBWAA,201,151,43,N,Player,
brownmo01h,1937,BBWAA,201,151,31,N,Player,
maranra01h,1937,BBWAA,201,151,25,N,Player,
schalra01h,1937,BBWAA,201,151,24,N,Player,
planked01h,1937,BBWAA,201,151,23,N,Player,
clarkfr01h,1937,BBWAA,201,151,22,N,Player,
klingjo01h,1937,BBWAA,201,151,20,N,Player,
chaseha01h,1937,BBWAA,201,151,18,N,Player,
bendech01h,1937,BBWAA,201,151,17,N,Player,
crigelo01h,1937,BBWAA,201,151,16,N,Player,
youngro01h,1937,BBWAA,201,151,16,N,Player,
pennohe01h,1937,BBWAA,201,151,15,N,Player,
tinkejo01h,1937,BBWAA,201,151,15,N,Player,
bakerfr01h,1937,BBWAA,201,151,13,N,Player,
marquru01h,1937,BBWAA,201,151,13,N,Player,
woodjo02h,1937,BBWAA,201,151,13,N,Player,
mcginjo01h,1937,BBWAA,201,151,12,N,Player,
jossad01h,1937,BBWAA,201,151,11,N,Player,
ruckena01h,1937,BBWAA,201,151,11,N,Player,
heilmha01h,1937,BBWAA,201,151,10,N,Player,
roushed01h,1937,BBWAA,201,151,10,N,Player,
vanceda01h,1937,BBWAA,201,151,10,N,Player,
adamsba01h,1937,BBWAA,201,151,8,N,Player,
duffyhu01h,1937,BBWAA,201,151,7,N,Player,
archeji01h,1937,BBWAA,201,151,6,N,Player,
careyma01h,1937,BBWAA,201,151,6,N,Player,
donlimi01h,1937,BBWAA,201,151,6,N,Player,
hoopeha01h,1937,BBWAA,201,151,6,N,Player,
bradlbi01h,1937,BBWAA,201,151,5,N,Player,
carribi02h,1937,BBWAA,201,151,5,N,Player,
crawfsa01h,1937,BBWAA,201,151,5,N,Player,
huggimi01h,1937,BBWAA,201,151,5,N,Manager,
mcgrajo01h,1937,BBWAA,201,151,5,N,Manager,
robinwi01h,1937,BBWAA,201,151,5,N,Manager,
tennefr02h,1937,BBWAA,201,151,5,N,Player,
wheatza01h,1937,BBWAA,201,151,5,N,Player,
combsea01h,1937,BBWAA,201,151,4,N,Player,
griffcl01h,1937,BBWAA,201,151,4,N,Pioneer/Executive,
jennihu01h,1937,BBWAA,201,151,4,N,Player,
altroni01h,1937,BBWAA,201,151,3,N,Player,
bancrda01h,1937,BBWAA,201,151,3,N,Player,
burnsge01h,1937,BBWAA,201,151,3,N,Player,
donovbi01h,1937,BBWAA,201,151,3,N,Player,
faberre01h,1937,BBWAA,201,151,3,N,Player,
lewisdu01h,1937,BBWAA,201,151,3,N,Player,
nehfar01h,1937,BBWAA,201,151,3,N,Player,
peckiro01h,1937,BBWAA,201,151,3,N,Player,
bergema01h,1937,BBWAA,201,151,2,N,Player,
bodiepi01h,1937,BBWAA,201,151,2,N,Player,
coombja01h,1937,BBWAA,201,151,2,N,Player,
cravaga01h,1937,BBWAA,201,151,2,N,Player,
daubeja01h,1937,BBWAA,201,151,2,N,Player,
doylela01h,1937,BBWAA,201,151,2,N,Player,
fletcar01h,1937,BBWAA,201,151,2,N,Player,
gowdyha01h,1937,BBWAA,201,151,2,N,Player,
loberha01h,1937,BBWAA,201,151,2,N,Player,
mageesh01h,1937,BBWAA,201,151,2,N,Player,
schreos01h,1937,BBWAA,201,151,2,N,Player,
scottev01h,1937,BBWAA,201,151,2,N,Player,
breitte01h,1937,BBWAA,201,151,1,N,Player,
burkeje01h,1937,BBWAA,201,151,1,N,Player,
bushdo01h,1937,BBWAA,201,151,1,N,Player,
chesbja01h,1937,BBWAA,201,151,1,N,Player,
cissebi01h,1937,BBWAA,201,151,1,N,Player,
collish01h,1937,BBWAA,201,151,1,N,Player,
dooinre01h,1937,BBWAA,201,151,1,N,Player,
duganjo01h,1937,BBWAA,201,151,1,N,Player,
elberki01h,1937,BBWAA,201,151,1,N,Player,
falkecy01h,1937,BBWAA,201,151,1,N,Player,
gleaski01h,1937,BBWAA,201,151,1,N,Player,
grimebu01h,1937,BBWAA,201,151,1,N,Player,
grohhe01h,1937,BBWAA,201,151,1,N,Player,
hinchbi01h,1937,BBWAA,201,151,1,N,Player,
judgejo01h,1937,BBWAA,201,151,1,N,Player,
kerrdi01h,1937,BBWAA,201,151,1,N,Player,
leachto01h,1937,BBWAA,201,151,1,N,Player,
leevesa01h,1937,BBWAA,201,151,1,N,Player,
longhe01h,1937,BBWAA,201,151,1,N,Player,
luquedo01h,1937,BBWAA,201,151,1,N,Player,
mcinnst01h,1937,BBWAA,201,151,1,N,Player,
mcleala01h,1937,BBWAA,201,151,1,N,Player,
meusebo01h,1937,BBWAA,201,151,1,N,Player,
milleha01h,1937,BBWAA,201,151,1,N,Player,
moranpa01h,1937,BBWAA,201,151,1,N,Player,
murphda02h,1937,BBWAA,201,151,1,N,Player,
murrare01h,1937,BBWAA,201,151,1,N,Player,
paskedo01h,1937,BBWAA,201,151,1,N,Player,
raymobu01h,1937,BBWAA,201,151,1,N,Player,
rixeyep01h,1937,BBWAA,201,151,1,N,Player,
rudoldi01h,1937,BBWAA,201,151,1,N,Player,
rusieam01h,1937,BBWAA,201,151,1,N,Player,
schulfr01h,1937,BBWAA,201,151,1,N,Player,
seweljo01h,1937,BBWAA,201,151,1,N,Player,
steinha01h,1937,BBWAA,201,151,1,N,Player,
streega01h,1937,BBWAA,201,151,1,N,Player,
sullibi03h,1937,BBWAA,201,151,1,N,Player,
veachbo01h,1937,BBWAA,201,151,1,N,Player,
wallabo01h,1937,BBWAA,201,151,1,N,Player,
